SID,GID,MOT,SCORE,MOT_CAT,SCORE_CAT,PUD,PUD_CAT,FREQ,DUR,TTAll,TTAC,TTAW,TTHard,TTEasy,TTMedium
mis-016815,1,1,0.88,1,1,1,1,10,909.27,1629.74,1226.79,402.95,745.79,286.53,597.42
mis-022158,0,0.44,0.38,0,2,,,,,1380.15,759.237,620.92,566.127,180.02,634.01
mis-022814,0,0.73,0.38,1,2,,,,,1214.13,356.139,857.99,404.84,342.50,466.80
mis-042515,1,0.72,0.25,1,3,0.62,1,8,194.14,1867.56,743.29,1124.27,856.78,710.97,299.81
mis-058915,1,0.32,0.13,0,3,0.16,0,6,287.71,1647.23,821.39,825.84,1243.25,177.56,226.42
mis-083012,0,0.33,0.25,0,3,,,,,527.96,77.192,450.76,235.269,155.19,137.50
mis-085312,0,0.73,0.25,1,3,,,,,1109.06,296.218,812.84,507.679,285.74,315.64
mis-088812,0,0.33,0.25,0,3,,,,,1106.37,346.447,759.93,373.448,386.82,346.11
mis-092124,1,0.72,0.75,1,1,0.62,1,8,169.48,1369.02,907.16,461.86,511.89,401.37,455.76
mis-096133,1,0.49,0.63,0,1,0.39,0,7,222.59,1160.21,736.21,424.00,648.35,121.89,389.98
mis-097111,1,0.68,1,1,1,0.46,0,16,990.24,2247.65,2056.66,190.99,1218.4,194.90,834.35
mis-098613,0,0.34,0.25,0,3,,,,,741.15,272.079,469.07,313.199,287.66,140.30
mis-108915,0,0.4,0.25,0,3,,,,,722.49,252.794,469.70,301.285,102.31,318.89
mis-112415,1,0.48,0.5,0,2,0.23,0,10,225.77,1513.42,668.39,845.03,1061.57,250.08,201.77
mis-116055,1,0.8,0.75,1,1,0.7,1,14,757.41,2049.06,1473.31,575.75,1229.06,256.78,563.22
mis-119512,1,0.8,1,1,1,0.7,1,19,991.6,2108.20,1952.32,155.88,1183.99,342.00,582.21
mis-131514,1,0.33,0.5,0,2,0.23,0,9,359.41,708.71,87.98,620.73,284.56,147.32,276.82
mis-136086,1,0.6,0.63,1,1,0.39,0,8,398.2,1324.83,983.57,341.26,592.62,64.66,667.55
mis-141412,1,0.6,0.5,1,2,0.46,0,14,458.32,1551.42,842.56,708.86,665.98,325.90,559.54
mis-141413,1,0.59,0.5,1,2,0.39,0,13,438.02,1603.49,956.34,647.15,771.19,157.65,674.65
mis-145164,0,0.88,0.75,1,1,,,,,1361.30,713.024,648.28,657.05,129.84,574.42
mis-147509,1,0.48,0.5,0,2,0.7,0,9,372.57,1497.27,641.55,855.72,1027.5,178.22,291.55
mis-149102,1,0.73,0.75,1,1,0.46,1,11,798.87,2218.48,1479.96,738.52,960.21,389.66,868.61
mis-154813,1,0.28,0.13,0,3,0.16,0,6,208.71,2051.55,699.71,1351.84,984.05,509.74,557.76
mis-155012,1,0.88,0.25,1,3,0.92,1,14,637.21,905.56,415.23,490.33,228.06,109.53,567.97
mis-156046,1,0.6,0.25,1,3,0.46,0,7,200.2,1288.03,508.45,779.58,488.38,120.19,679.46
mis-156059,1,0.81,0.25,1,3,0.7,1,8,173.5,927.57,398.69,528.88,450.47,190.30,286.80
mis-156064,1,0.81,0.38,1,2,0.92,1,8,218.64,871.83,461.62,410.21,433.99,120.51,317.33
mis-156105,1,0.26,0.38,0,2,0.62,0,6,193.25,1062.78,550.20,512.58,562.45,193.23,307.10
mis-160293,1,0.62,0.63,1,1,0.55,0,9,608.72,1649.49,1196.35,453.14,945.4,296.78,407.31
mis-160312,1,0.8,0.63,1,1,0.7,1,11,675.23,1223.06,732.59,490.47,761.82,138.02,323.22
mis-160376,1,0.63,0.63,1,1,0.55,0,10,540.01,1424.30,973.01,451.29,605.82,133.78,684.70
mis-160721,0,0.73,0.63,1,1,,,,,1179.12,673.314,505.81,523.538,170.43,485.16
mis-160899,0,0.33,0.13,0,3,,,,,2159.63,735.220,1424.41,761.063,672.40,726.16
mis-160973,0,0.33,0.13,0,3,,,,,1787.94,652.416,1135.53,529.398,651.25,607.30
mis-161115,1,0.88,0.88,1,1,0.55,1,13,632.63,1331.45,901.55,429.90,829.25,148.47,353.73
mis-161161,1,0.8,0.88,1,1,0.7,1,13,802.39,1863.46,1639.55,223.91,1028.1,157.47,677.89
mis-161392,1,0.49,0.75,0,1,0.46,0,12,810.66,1495.59,825.65,669.94,739.36,242.23,514.00
mis-161484,1,0.86,0.5,1,2,0.92,1,17,454.51,1032.84,603.65,429.19,675.42,101.39,256.03
mis-161550,1,0.12,0.13,0,3,0.16,0,1,101.42,1528.97,139.93,1389.04,1016.13,283.87,228.97
mis-161565,1,0.6,0.38,1,2,0.39,0,9,625.54,1579.57,653.52,926.05,914.49,208.49,456.59
mis-161735,0,0.33,0.5,0,2,,,,,1621.17,722.773,898.39,746.402,330.18,544.59
mis-161819,1,0.88,0.75,1,1,0.46,1,15,826.3,1688.54,1040.00,648.54,797.84,295.03,595.67
mis-162099,0,0.33,0.13,0,3,,,,,1214.03,351.801,862.23,455.064,130.78,628.19
mis-162159,1,0.73,0.75,1,1,0.62,1,10,133.49,1582.65,1030.44,552.21,678.41,443.30,460.94
mis-162467,1,0.49,0.5,0,2,0.39,0,13,463.11,757.25,321.72,435.53,412.99,154.11,190.15
mis-165169,1,0.33,0.5,0,2,0.62,0,9,470.86,1430.13,894.32,535.81,935.86,167.51,326.76
mis-165182,1,0.33,0.5,0,2,0.23,0,9,608.72,1768.18,788.29,979.89,1199.19,150.35,418.64
mis-166129,0,0.73,0.75,1,1,,,,,1431.98,919.930,512.05,756.777,303.00,372.20
mis-166133,0,0.88,0.88,1,1,,,,,1205.27,1108.040,97.23,517.532,190.29,497.45
mis-169050,0,0.33,0.13,0,3,,,,,1188.80,320.164,868.64,336.937,337.72,514.15
mis-169106,0,0.33,0.13,0,3,,,,,1301.75,584.420,717.33,917.763,221.92,162.07
mis-170213,1,0.72,0.75,1,1,0.62,1,10,627.28,1338.83,1065.14,273.69,620.45,316.37,402.01
mis-171713,0,0.33,0.38,0,2,,,,,1200.78,520.717,680.06,543.168,253.80,403.81
mis-177712,0,0.48,0.63,0,1,,,,,1416.95,990.366,426.59,818.985,207.41,390.56
mis-177713,0,0.49,0.63,0,1,,,,,1692.72,950.360,742.36,805.588,234.32,652.82
mis-181413,1,0.48,0.88,0,1,0.62,0,11,625.54,1654.42,1292.97,361.45,1035.32,288.49,330.62
mis-186009,0,0.73,0.25,1,3,,,,,792.81,361.990,430.82,257.785,195.41,339.62
